title,category,author,date,source,url,summary
"Hospital Mergers Often Lead to Higher Prices for Patients, Study Confirms",Health,Reed Abelson,03/10/2023,The New York Times,https://www.nytimes.com/2023/10/03/health/hospital-mergers-prices.html,"An analysis published in JAMA finds that hospital consolidation frequently results in reduced competition and substantially higher prices for medical procedures, without a corresponding increase in quality of care."
New Guidelines Lower the Bar for High Blood Pressure Diagnosis,Health,Lauran Neergaard,02/10/2023,Associated Press,https://apnews.com/article/high-blood-pressure-guidelines-hypertension-2023-10,"The American Heart Association has updated its guidelines, defining hypertension at 130/80 mmHg rather than 140/90, a change that means millions more Americans will be diagnosed with high blood pressure."
The Rise of 'Medical Gaslighting': Are Doctors Dismissing Women's Pain?,Health,Melinda Wenner Moyer,01/10/2023,The Atlantic,https://www.theatlantic.com/health/archive/2023/10/medical-gaslighting-womens-pain/675501/,"A growing movement is shedding light on the phenomenon where women's health symptoms are often dismissed or misattributed to psychological causes, leading to delayed diagnoses."
Dengue Fever Outbreak in South America Worsened by Climate Change,Health,Manuela Andreoni,30/09/2023,Reuters,https://www.reuters.com/world/americas/dengue-fever-outbreak-south-america-climate-change-2023-09-30,"Record-breaking dengue outbreaks are sweeping across parts of South America, with public health experts blaming warmer temperatures for expanding the habitat of the Aedes aegypti mosquito."
Personalized Nutrition: Can DNA-Based Diets Improve Health Outcomes?,Health,Christie Aschwanden,29/09/2023,WIRED,https://www.wired.com/story/personalized-nutrition-dna-diets/,"The field of nutrigenomics aims to tailor dietary recommendations based on an individual's genetic profile, but experts say more research is needed to validate the effectiveness of this approach."
Hearing Aids to be Sold Over-the-Counter for the First Time in US,Health,Ricardo Alonso-Zaldivar,28/09/2023,Associated Press,https://apnews.com/article/hearing-aids-over-the-counter-fda-rule-2023-09,"Following a new FDA rule, Americans with mild to moderate hearing loss can now buy hearing aids directly from stores without a prescription, a move intended to lower costs and improve access."
Psychedelic Therapy for PTSD Shows Lasting Benefits in Phase 3 Trial,Health,Andrew Jacobs,27/09/2023,The New York Times,https://www.nytimes.com/2023/09/27/health/psychedelics-ptsd-mdma-therapy.html,"A final-phase clinical trial found that MDMA-assisted therapy produced significant and durable reductions in symptoms for patients with severe PTSD, paving the way for potential FDA approval."
Wildfire Smoke's Lingering Impact on Lung Health a Growing Concern,Health,Anna Gibbs,26/09/2023,National Geographic,https://www.nationalgeographic.com/science/article/wildfire-smoke-lingering-impact-lung-health,"Pulmonologists are increasingly concerned about the long-term health consequences of exposure to fine particulate matter from smoke, including asthma and reduced lung function."
More Children are Being Diagnosed with Type 2 Diabetes at Younger Ages,Health,Carina Storrs,25/09/2023,WebMD,https://www.webmd.com/diabetes/news/20230925/more-children-diagnosed-type-2-diabetes,"Pediatricians are reporting an alarming rise in Type 2 diabetes among children and adolescents, a trend strongly linked to rising rates of childhood obesity and sedentary lifestyles."
The Gut Microbiome's Role in Parkinson's Disease Investigated,Health,Jon Hamilton,24/09/2023,NPR,https://www.npr.org/sections/health-shots/2023/09/24/1201123456/gut-microbiome-parkinsons-disease,"New research is exploring the connection between the gut-brain axis and Parkinson's disease, with evidence suggesting that the composition of gut bacteria may play a role in the disorder's development."
Health Insurers Face Scrutiny for Widespread Use of AI to Deny Claims,Health,Chris Farr,23/09/2023,ProPublica,https://www.propublica.org/article/health-insurers-ai-deny-claims-unitedhealth-cigna,"An investigation reveals that major health insurance companies are using AI algorithms to deny patient claims in batches with minimal human oversight, prompting regulatory inquiries."
Caffeine in Pregnancy: How Much is Safe?,Health,Catherine Pearson,22/09/2023,The New York Times,https://www.nytimes.com/2023/09/22/parenting/pregnancy-caffeine-safety.html,A consensus is forming around updated guidelines suggesting that up to 200 milligrams of caffeine per day—about one 12-ounce cup of coffee—is generally safe during pregnancy.
